Source,Target
kelleyob,weatherchannel
kelleyob,TWCBryan
docsconz,FDNY
tammy,MikeBloomberg
tammy,NYCMayorsOffice
tammy,Twitter
acarvin,carolv27
JeffDM,dlnqnt_blog
Egocrata,LukeRussert
acarvin,MikeBloomberg
exilauren,MikeBloomberg
eruptionsblog,wunderground
JennilynnHawn,NewYorkPost
ryrivard,thejohnterry
TonyMcCuneMedia,NewYorkPost
ChoChoNews,sgallman
JSWardell,NBCNewYork
JSWardell,NewYorkPost
TimmyKnapp,MikeBloomberg
TimmyKnapp,NYCMayorsOffice
TimmyKnapp,Twitter
TonyMcCuneMedia,LukeRussert
missmodular,xeni
missmodular,baratunde
schmooze,LoHud
schmooze,AP
WBIRWeather,reedtimmerTVN
joshgreenman,MikeBloomberg
dailyorange,NYGovCuomo
exilauren,CNNweather
AmandaKohut,MikeBloomberg
dougkammerer,NYGovCuomo
PeteSkerritt,GUNNARSjem
PeteSkerritt,NBCNewYork
nancyproctor,Ms_Kianga
nancyproctor,baratunde
acarvin,CNNweather
MissCanadaofUSA,wusa9
MissCanadaofUSA,AP
CoveringDelta,CNNPR
jessa_0502,NYGovCuomo
Georgi_an_na,NYGovCuomo
tcwittes,MikeBloomberg
sageweddingpros,CNNweather
MicahTillman,capitalweather
MicahTillman,breakingweather
MicahTillman,CNNPR
lorilewis,FDNY
nwas,capitalweather
nwas,breakingweather
nwas,CNNPR
JuliaRozman,NYGovCuomo
JeanPierreNYC,HC_Sandy
aniamik,WBAIRadio
dingbat,AP
dingbat,BrianLehrer
dingbat,WNYC
dingbat,Gawker
aimeebalkissoon,WGRZ
aimeebalkissoon,AP
DavidShuster,NYU
DrinkRxCoffee,HC_Sandy
MattPetrillo,RickMitchellWX
andyfortson,Jonathan360
andyfortson,ConEdision
andyfortson,VNL
acarvin,FDNY
acarvin,NYCMayorsOffice
acarvin,Not
wavingcrosser,NYGovCuomo
SamSeaborn,FDNY
SamSeaborn,NYCMayorsOffice
SamSeaborn,Not
aravosis,RyanNewYork
aravosis,WGRZ
aravosis,AP
GarofaloWX,MikeBloomberg
GarofaloWX,MikeBloomberg
WxDan,NWSNewYorkNY
BBfan4life4sure,UHAVEBINWANTED
lil_red_man,FDNY
lil_red_man,NYCMayorsOffice
lil_red_man,Not
YouniquelyChic,Jason_Pollock
YouniquelyChic,DJD
johnstevens21,twc_hurricane
kataaron,deanna
kataaron,NY1weather
Brunocerous,HeyVeronica
Brunocerous,GoogleFacts
NewDorpBeach,MStein0414
NewDorpBeach,NewDorpBeach
beyond90seconds,gregmocker
beyond90seconds,nycarecs
jeffreybgray,fieldproducer
jeffreybgray,NYGovCuomo
tatumalexiss,JustinKing224
andyfortson,JustinKing224
DanTresOmi,_kimford_
DanTresOmi,NY1headlines
JosephLGeidel,NYGovCuomo
NickiinNC,syracusedotcom
NickiinNC,nytimes
NickiinNC,mouselink
jessjthomas,kerstinshamberg
Quinn4NY,NYGovCuomo
KarinaAbadNJ,HuffingtonPost
smalera,wendyploger
NickiinNC,WGRZ
NickiinNC,AP
dingbat,WNYC
dingbat,mittromney
dingbat,BrianLehrer
dingbat,nprnews
JosephLGeidel,NYGovCuomo
coastlinebaru,JimCantore
jarehart,FDNY
jarehart,NYCMayorsOffice
jarehart,Not
lpsrocks,BoingBoing
lpsrocks,FDNY
lpsrocks,NYCMayorsOffice
TGRbass,Bassweight
GEZERR,NYMag
Karolina_Buczek,NYMag
Lspaventa,mashable
mspringerwftv,NewYorkPost
veronicalderon,eduardosuarez
smbedoya,ShannonAMay
ModernUrbanLife,NewYorkPost
dallendoug,scook72
nyppresident,nyphospital
Mizzfit_Bianca,NewYorkPost
vprnet,DushimeJL
allergicgirl,HappyLivingLA
SprongStyle41,MikeDarnay
SprongStyle41,isardasorensen
dcabfab,cnnireport
jeanaberryman,AlexJamesFitz
jeanaberryman,cityhall
JoeJoeKeys,XNEFinancial
SeanGHiggins,cjciaramella
SeanGHiggins,OccupyWallSt
jimnobu,superchieftv
RickWebb,baratunde
Sisarina,busboysandpoets
baratunde,sallykohn
baratunde,baratunde
DigitalDUMBO,baratunde
hankito,OccupyWallSt
anthropocon,thekelliejane
anthropocon,OccupyWallSt
teknicality,OldeHippi
teknicality,Nge_jung
stetsonglines,BoraZ
stetsonglines,Troybur
stetsonglines,BoraZ
stetsonglines,newsle
Fr4nc3,sd
ChelseySaidThis,TRUTH_BOT_2012
ChelseySaidThis,ChelseySaidThis
JeffTitelius,katiesheadesign
JeffTitelius,nyphospital
lpsrocks,_pascuzzo
JGRWriter,isardasorensen
BigTiggerShow,BigTiggerShow
kayoungche,ItsAHardG
kayoungche,gaycivilrights
rosie2656,rightnowio_feed
brandonzwa,queensbeat
brandonzwa,adgirlSC
ArcticEase,AP
baratunde,AnandWrites
baratunde,Baratunde
baratunde,BuzzFe
Belle__Giselle,MarigoPR
Belle__Giselle,rosannascotto
JohnJHarwood,carlquintanilla
jonweinstein,patkiernan
Malbonnington,patkiernan
DigitalDUMBO,brooklynrob
DigitalDUMBO,NYTM
DigitalDUMBO,rachelsterne
DigitalDUMBO,fredwilson
DigitalDUMBO,GA
DigitalDUMBO,digital
LaurenCrocker_,ConEdison
PatSandora,airfarewatchdog
humphrysflag,MosMoxie
KGeee,bryanrwalsh
ThelmaDav,weatherfran
ThelmaDav,isardasorensen
YourNewsGirl,ameyapendse
DrFerdowsi,rlanzara
mitgc_cm,alliemahler
mitgc_cm,besocialchange
lafloran,CharlesBivona
lafloran,HuffPostGreen
Fr4nc3,NY1headlines
JimNaught,EpiscopalRelief
JimNaught,RobRadtke
allergicgirl,ScottBeale
allergicgirl,leighleighsf
allergicgirl,nytm
allergicgirl,nwc
UpperBuxBeat,alastormspotter
smbedoya,cnnbrk
amaliaefowler,runnersworld
AnnieFeighery,MikeBloomberg
alywalansky,gothamist
katologic,nytimes
mikesisak,NYGovCuomo
CraigElimeliah,uber
BurtonJM,thewanderingjew
AnnieFeighery,waterca
SweetSarahndpty,lebesq
mtgodin,USOlympic
B3scobar,elrealchamo
TechCoHQ,kiramnewman
TechCoHQ,brooklynrob
mitgc_cm,TechCocktail
mitgc_cm,kiramnewman
mitgc_cm,brooklynrob
mitgc_cm,ExchangeMyPhone
mitgc_cm,niceworknj
mitgc_cm,verynicetweets
mitgc_cm,LinkedIn
mitgc_cm,Aline_Carr
mitgc_cm,CiscoCSR
mitgc_cm,susanmcp1
lafloran,Aline_Carr
mitgc_cm,MuslimMatters
DrFerdowsi,ColumbiaSurgery
shanchovy,dtlawson
mitgc_cm,DigitalWoman
mitgc_cm,Kia500
mitgc_cm,sharedesk
mercedeskat45,rayfarmer_
mercedeskat45,noraa
mitgc_cm,NiamhHughes
scottdodd,columbiajourn
scottdodd,GlobalCityNYC
TARALYNN757,BBC_Future
TARALYNN757,knightlab
TARALYNN757,nytimes
allergicgirl,gfreefun
allergicgirl,allergicgirl
allergicgirl,gfreefun
allergicgirl,SanaAndTheCity
sarawsantana,dflashnyc
allergicgirl,gfbird
allergicgirl,allergicgirl
allergicgirl,gfreefun
allergicgirl,gfbird
lafloran,femaregion2
lafloran,fema
lafloran,redcross
YasT62,accuweather
YasT62,femaregion2
YasT62,FEMAespanol
lafloran,clarabell8
mitgc_cm,catchafire
BleednYankeeBlu,jeterfan_02
BleednYankeeBlu,jensanity2211
BleednYankeeBlu,jetdom
BleednYankeeBlu,mymialove
ohiomail,liamstack
ohiomail,nytimes
ohiomail,RobertMackey
katologic,fema
katologic,311NYC
SweetSarahndpty,SunniAndTheCity
SweetSarahndpty,kiarapesante
mitgc_cm,LydiaChicles
JulianHurrah,nowthisnews
mitgc_cm,sloane
leonnawilliams,nycarecs
Fitnesspursuits,PlayFitness
mitgc_cm,Yoink
mitgc_cm,drkdhoffman
mitgc_cm,BatHausCowork
ReadyNJ,femaregion2
amy_galford,femaregion2
yolymason,MommyT3aches
yolymason,ernestososa
luesposito,sabzbrach
AnnieFeighery,NYCRescue
luesposito,juliacreinhart
luesposito,sabzbrach
ConsultantATL,baratunde
mitgc_cm,askanyone
mitgc_cm,AAPremlall
mitgc_cm,TDCrowdsource
Genilde,TheEconomist
CindyFrancine,fema
mitgc_cm,NYCEDC
mitgc_cm,sunshineny
mitgc_cm,coalition4qns
mitgc_cm,pivotdesk
Jayne720,FairTaxNancy
Fanonian,msAutumnMarie
brklynreader,OccupyWallSt
Ruth912,GregWHoward
tonyzump,redostoneage
tonyzump,cnn
tonyzump,abc
tonyzump,abcnews
Ruth912,redostoneage
HudsonTerrace,djstoon
HudsonTerrace,HudsonTerrace
HudsonTerrace,IndayoGroup
HudsonTerrace,MrDelgado7
HudsonTerrace,mikesation
JeffTitelius,MariaCultureist
JeffTitelius,leslietravel
allergicgirl,EnjoyLifeCMO
katologic,NYCMayorsOffice
katologic,NYGovCuomo
wrocorn,eprovey
jeremywright,meganberry
Merittrade,morganbrady
Merittrade,AgaveNYC
JennSmith_Ink,nytimes
CNNEPrensa,MariaSantanaCNN
CNNEPrensa,CNNEE
GrubStreetBOS,grubstreetny
YasT62,MTAInsider
DemocraticBase,SenGillibrand
MookWilliams,fema
catbirdnyc,ingodwetrustNYC
catbirdnyc,DSANDDURGA
catbirdnyc,RedCross
amy_galford,femaregion2
baratunde,anandwrites
harrybeeenyc,millsskinny
971theticketxyt,WFAN660
Karolina_Buczek,BBCSport
reg1776,adrienne_jensen
MillCityComic,modernactivism
MillCityComic,uschamber
JM_DiStefano,adrienne_jensen
jenofur,rawliving
QPitcock,OpieRadio
CommDigiNews,wtcommunities
AnnieFeighery,USMOJO
AnnieFeighery,AnnieFeighery
palafo,lilmeady
YourNewsGirl,ameyapendse
YourNewsGirl,nygovcuomo
YourNewsGirl,mikebloomberg
Beer4Molly,RickSanchezTV
osumom311,RickSanchezTV
pswartzpk,brooklynrob
pswartzpk,OccupySandy
pswartzpk,Recovers_Org
gregwong,caaav
FourPawsPlace,DisasterAnimals
FourPawsPlace,ASPCA
cMadman,JustinKing224
YasT62,IndianaWxOnline
AnnieFeighery,klugesan
IrondaleCenter,BilldeBlasio
HUDgov,mnitzky
HUDgov,HUDNews
CarolineManzo,Rich346
CarolineManzo,CarolineManzo
NickV1021,NY1headlines
NewEnglandite,EcoJive
CarolineManzo,OperationWesley
CarolineManzo,flomolinaro
CarolineManzo,CarolineManzo
CarolineManzo,OperationWesley
AmaSan25,JoAnneMoretti
JeffCaronRun,julieculley
moneyries,adasofia
moneyries,INGNYCMarathon
moneyries,NYCMore2012
TriTheShore,openmikey
TriTheShore,TriTheShore
brklynreader,OccupyWallSt
brklynreader,occupysandy
mrmontes101,runnersworld
SparkplugPower,femaregion2
Enduramoms,runnersworld
katienelson,NYDNTracyConnor
FortKnoxFive,fema
FortKnoxFive,redcrossny
FortKnoxFive,redcross
SaraJChipps,levoleague
lpsrocks,FDNY
Reblogga,ChrisCQuinn
SA3886,nycarecs
Sun2Save,nycarecs
KerriCoach,FDNY
kittshapiro,FDNY
FmrRepublican,FDNY
pattyanntwittin,corrcomm
LaurenLaCapra,ReformedBroker
LaurenLaCapra,mattheworley
MillikenReports,MeiMeiFox
humphrysflag,Bryan_Llenas
humphrysflag,foxnewslatino
BenJMorse,FDNY
ReadyNJ,fema
DM_Training,mashable
allergicgirl,InsideFandB
dipaolamomma,ExxelOutdoors
dipaolamomma,travelingmoms
amy_galford,edentweets
amy_galford,CCE_Disaster
amy_galford,femaregion2
kathrynlurie,MikeBloomberg
mitgc_cm,NYGovCuomo
TheRealSLadies,tallmanmark
TGRbass,tanktopNYC
TGRbass,DirectDrive
bethebutterfly,Airbnb
mitgc_cm,Kurrencidotcom
lafloran,fema
lafloran,nycgov
SIUHOSPITAL,fema
SIUHOSPITAL,nycgov
fairerelections,Jossie_Flor
mattheworley,maxonow
CarolineManzo,jdortiz09
CarolineManzo,femaregion2
mitgc_cm,noneck
mitgc_cm,NYTM
mitgc_cm,NYeHealth
alanawhitman,NYGovCuomo
mitgc_cm,global_convo
mitgc_cm,recovers_org
mitgc_cm,sparkrelief
brandonzwa,RockawayHelp
bendicoot,bibken
Melki_Ko,samantha_smith
Melki_Ko,LevelUp
MillikenReports,D_Milliken
mitgc_cm,everymomcounts
mitgc_cm,catchafire
CommDigiNews,wtcommunities
CommDigiNews,wtcommunities
kathrynlurie,WSJphotos
kathrynlurie,WSJ
CommDigiNews,wtcommunities
CarolineManzo,cjeccles
CarolineManzo,CarolineManzo
CommDigiNews,wtcommunities
BlakeBoston617,HumanityRoad
BlakeBoston617,Al
CommDigiNews,wtcommunities
CommDigiNews,wtcommunities
mitgc_cm,HealthcareWen
CarrieWofford,AP
CommDigiNews,wtcommunities
CommDigiNews,wtcommunities
CommDigiNews,wtcommunities
brandonzwa,diyavij
brandonzwa,rockawayhel
mitgc_cm,GalapagosDUMBO
mitgc_cm,smallknot
mitgc_cm,NewYork_CM
MalinsWorld,theloop21
TheKyleDevitte,FlowGo37
TheKyleDevitte,CharlotteMLL
TheKyleDevitte,MLL_Lacrosse
TheKyleDevitte,markmanos7
ordinaryaunt,BabyEsMomma
HenryQs,WBAIRadio
amy_galford,femaregion2
KosherSoul,SportsTaxMan
mitgc_cm,DisasterAnimals
mitgc_cm,NYCSandyNeeds
ladydshops,TheDavidMcGuire
NorthShoreElder,fema
HUDgov,fema
mitgc_cm,SenGillibrand
mitgc_cm,airbnb
baratunde,wnyc
baratunde,datanews
520ClintonAve,30secondlife
520ClintonAve,zipcar
AnnieFeighery,KelliMerritz
nyfacurrent,KatyHamer
nyfacurrent,nyfacurrent
DrFerdowsi,HealthcareWen
DrFerdowsi,GoogleMaps
NAMIMass,NYGovCuomo
mitgc_cm,HealthcareWen
mitgc_cm,GoogleMaps
beanhome_garden,peta
mitgc_cm,cindygallop
mitgc_cm,nytm
capewx,femaregion2
capewx,femaregion2
capewx,FEMASandy
mitgc_cm,NYTM
AndeLyons,chelseakrost
AndeLyons,debraoakland
AndeLyons,christinalweber
jlawrencequinn,Rasiej
jlawrencequinn,Jessicalawrence
mitgc_cm,recovers_org
mitgc_cm,sparkrelief
mitgc_cm,NYTM
mitgc_cm,nytimes
mitgc_cm,TheMechMap
BATK76,fema
adragon,RachelFineMusic
DrFerdowsi,FEMASandy
DrFerdowsi,NYCgov
DrFerdowsi,311NYC
DrFerdowsi,NotifyNYC
AnnieFeighery,Zak_NYCMetroWx
JohnHargz,Jerzeyboy1439
JohnHargz,NWSNewYorkNY
JohnHargz,AudreyPuente
The_WxExpert,EricFisherTWC
AnnieFeighery,EricFisherTWC
NHSeacoast_WX,LSC_Sinko
JonnyTorres,AnthonyQuintano
JonnyTorres,JimCantore
amy_galford,NWSBinghamton
Haffenreffer,JimCantore
JHall636,EdKiernanNYC
POLITICO_Steve,NYGovCuomo
POLITICO_Steve,nycarecs
amy_galford,NWSBinghamton
palafo,Sally_K
palafo,isardasorensen
david_marine,isardasorensen
ksecus,HC_Sandy
MillCityComic,cleulady
MillCityComic,nycarecs
karapizzolo,MikeBloomberg
Radlein,wxbrad
lewisshepherd,wxbrad
Sikk412,occupyphoenix
Sikk412,occupyphoenix
JohnHargz,nationalgridus
mizmaggieb,lastnightsdinnr
mizmaggieb,queenscourier
rebeccayanyk,680News
JeffTitelius,NewYorkHabitat
WitchyGal1963,wxbrad
AnnieFeighery,CNNValencia
AnnieFeighery,THEnininsky
DataKind,adamlaiacano
DataKind,DataKind
amy_galford,NWSBinghamton
DataKind,adamlaiacano
timlinden,nationalgridus
JeffTitelius,dcoopsd
JeffTitelius,NewYorkHabitat
AviationTimes,UnivisionNews
AviationTimes,isardasorensen
lafloran,AidenFyre
kathrynlurie,isardasorensen
ohiomail,MikeBloomberg
ModernUrbanLife,MikeBloomberg
GeneoSandman,edemerling
billyroberts,MikeBloomberg
GeneoSandman,LouBrutus
amy_galford,NWSBinghamton
MookWilliams,OpieRadio
JohnHargz,twc_hurricane
POLITICO_Steve,NWSNewYorkNY
Oleanpublibrary,WGRZ
Oleanpublibrary,nationalgridus
mitgc_cm,deroyperaza
mitgc_cm,emjacobi
mitgc_cm,CynthiaHellen
Joi,baratunde
storagemadman,isardasorensen
Sun2Save,TheFireTracker2
Sun2Save,NYCTSubwayScoop
AnnieFeighery,nynjpaweather
JohnHargz,NWSNewYorkNY
selinajane,57UN
planetJoseph,carlosmayorga
mitgc_cm,recovers_org
baratunde,WNYC
UNIR1Network,jovanbursac
buffalo_girl,JimCantore
Ryan_2E,JimCantore
FmlTrigg_,taylorclark
petemyers,greenpainting
MeredithGould,auntiedasch
SuzanneColucci,NYGovCuomo
SuzanneColucci,livestream
nanmercado,baratunde
AnnieFeighery,MarkLGoldberg
AmaSan25,AP
amy_galford,NWSNewYorkNY
antst3r,NewYorkPost
antst3r,JButlerNYC
blowticious,newyorkphoto
blowticious,LaurentEric
DanMaffeiNY,The_Citizen
DanMaffeiNY,syracusedotcom
takeaknee1678,usaphoto
takeaknee1678,LaurentEric
janna_is,ClaudioNasco
janna_is,badkidmichael
Sikk412,Princessluna11
janna_is,ClaudioNasco
ModernUrbanLife,Luvume1
ModernUrbanLife,ModernUrbanLife
AmaSan25,neely_0hara
AmaSan25,NewYorkPost
GulfCoastGold,twc_hurricane
GulfCoastGold,katieschwartz
CorderoMusic,barrabest
LarryBingnear14,XHurricaneSandy
PhotosByBeanz,NewYorkPost
janna_is,ClaudioNasco
rich_bitch_prbs,davidcommon
D_Strohm,noizangel
D_Strohm,ReturnOfThePop
D_Strohm,NewYorkPost
mikesisak,YDRChrisOtto
mikesisak,DaveAnnable10
amy_galford,HealthNYGov
POLITICO_Steve,MikeBloomberg
jonweinstein,TWCable_NYC
CraigElimeliah,MikeBloomberg
ModernUrbanLife,cbs
gregwong,patcheung
AlexontheMic,piersmorgan
TheJeffPeck,OpieRadio
YungBarack09,RichBoyPiERRE
YungBarack09,YMCMB_BW
GailGabrielle,JBondyinNYC
YungBarack09,_iwannaminaj
YungBarack09,YMCMB_BW
MillCityComic,laynemarie
amy_galford,NYGovCuomo
britkleinfelter,dsandfia
britkleinfelter,NYGovCuomo
kulturhack,RomneyStormTips
dcabfab,mediatrustpete
dcabfab,SeeSawMeRT
dcabfab,HakanMartensson
kathrynlurie,NYGovCuomo
lafloran,AnthonyQuintano
KenSam985,BMOC98
katologic,mashable
dcabfab,wordwhacker
dcabfab,TheLowHar
alywalansky,ZaidaGrunes
alywalansky,jayobey93
alywalansky,DNAinfo
CityNews,BT_Vancouver
CityNews,BT
CityNews,dawn_chubai
CityNews,bt_vancouver
CityNews,dawn_chubai
SexyLadyPromos,AthenaFatale
JeffFromNH,jimmykimmel
Sun2Save,getmeoutnews
allergicgirl,food52
Sun2Save,getmeoutnews
rachlatham,newyorkphoto
rachlatham,LaurentEric
kerryeleveld,MikeBloomberg
2Mockeries,MikeBloomberg
AprilKalloo,MELANIATRUMP
alywalansky,TWCBreaking
HavanaWellness,twc_hurricane
CarrieWofford,MikeBloomberg
whygreenberg,RyanNewYork
BCLaraby,RyanNewYork
DSTBlaze,samir
DSTBlaze,sianpierre
lafloran,RyanNewYork
JeffTitelius,leslietravel
Indie_Intertube,piersmorgan
lafloran,jcarsonloo
CatyTedman,TheFanSmith
JohnHargz,wunderground
katologic,nycarecs
jamvng,wunderground
DSTBlaze,YolieTheJew
DSTBlaze,nycarecs
billdamon,twc_hurricane
B3scobar,elrealchamo
NewEnglandite,HC_Sandy
Radlein,tnielsenhayden
james_in_to,HC_Sandy
palafo,nycarecs
milkywayfairy,Grrrr_girl
milkywayfairy,HC_Sandy
Weathermansam77,AnthonyQuintano
AimlessAndru,HC_Sandy
allergicgirl,ACSpeakEasy
timwasher,reedtimmerTVN
CatOuellette,HC_Sandy
CatOuellette,HC_Sandy
DjVeeDro_Bison,sharethis
MarlaMarcum,HC_Sandy
NHSeacoast_WX,Stormdesk
NHSeacoast_WX,alertsandy
_ColinS_,nycarecs
DaveMosher,nycarecs
dkbascom,HC_Sandy
YasT62,bryanwx
YasT62,Cyn_Santana
planetJoseph,hurrtrackerapp
CarrieWofford,beenasarwar
CarrieWofford,comfortabl
billdamon,nycarecs
JoeMurgo,SeanSublette13
JoeMurgo,MTAInsider
B3scobar,CarlosVerareal
AprilDRyan,RickSanchezTV
AprilDRyan,NBC
AprilDRyan,NBCRobin
jimcoan,pedrorva
ksecus,JasonPromotesU
ksecus,cnbc
whygreenberg,nycarecs
billdamon,wunderground
dhatfield,FDNY
smbedoya,twc_hurricane
smbedoya,wunderground
baratunde,soozlebug
JohnHargz,MikeBloomberg
JulianHurrah,BuzzFeedAndrew
JulianHurrah,LukeRussert
RandanMarie,LukeRussert
AnnieFeighery,klugesan
sinforosa87,NewYorkPost
TheObamaphile,CNNweather
TheObamaphile,NWSNewYorkNY
suziedamas,stacos
bmw6297,ItzMinnieMaus
ShaunaGallagher,NewYorkPost
ksecus,CNNweather
ksecus,NWSNewYorkNY
NitOMaNia,NewYorkPost
AnnieFeighery,carolv27
BlakeBoston617,weatherchannel
BlakeBoston617,TWCBryan
libraryluna,warrenellis
_akamike,SunniAndTheCity
JustinKenney,NWSNewYorkNY
caitlinconstan,NikkiRenoit
caitlinconstan,nydailynews
dallendoug,capitalweather
dallendoug,wunderground
ksecus,josnoopy29
darealroxanne,MikeBloomberg
darealroxanne,NYCMayorsOffice
darealroxanne,Twitter
JeremyDGoodwin,weatherchannel
JeremyDGoodwin,TWCBryan
JoeMurgo,NWSNewYorkNY
oodja,NWSNewYorkNY
britkleinfelter,reedtimmerTVN
diannexm,AlexJamesFitz
GreenMarie99,Greytdog
GreenMarie99,Barbi_Twins
Joi,baratunde
sinforosa87,cpsj
Weathermansam77,reedtimmerTVN
amy_galford,NewYorkPost
tbren12,AsburyParkPress
tbren12,AP
planetJoseph,ToiletHackers
planetJoseph,klugesan
ksecus,wusa9
ksecus,AP
NKingofDC,alexressi
oodja,BoingBoing
oodja,NewYorkPost
ShaunaGallagher,wunderground
Sikk412,anahata913
baratunde,xeni
baratunde,baratunde
JohnHargz,NYGovCuomo
robkmil,MikeBloomberg
mindofrob,FDNY
ShaunaGallagher,bostondotcom
JackieJordan1,nycarecs
AnaPatriciaTV,UniNoticias
Sikk412,SaraM0113
gregwong,gothamist
brklynreader,NY1headlines
CarrieWofford,MikeBloomberg
PATHTrain,NY1headlines
Nazalee123,CNNweather
Oleanpublibrary,BoingBoing
Oleanpublibrary,NewYorkPost
CarrieWofford,baratunde
CarrieWofford,NYGovCuomo
palafo,azipaybarah
ericashnaider,MikeBloomberg
CarrieWofford,MikeBloomberg
qui_oui,LilEsBella
qui_oui,JOSE97LUIS
qui_oui,jose3030
Dark_McGwire,ErinSharoni
Dark_McGwire,markmac35
Fr4nc3,arojass
ashelizbridges,ABC2020
ashelizbridges,GMA
HUDgov,MikeBloomberg
zachluse,weeddude
zachluse,raywert
ThatEricAlper,MikeBloomberg
ThatEricAlper,NYCMayorsOffice
MethuenPolice,nationalgridus
JasMollica,EvilPRGuy
jarehart,EvilPRGuy
scott_stinson,FDNY
scott_stinson,NYCMayorsOffice
scott_stinson,Not
FlyLikeAGShep,RealTonyStark
jack,FDNY
jack,NYCMayorsOffice
jack,Not
SprongStyle41,FDNY
SprongStyle41,NYCMayorsOffice
SprongStyle41,Not
Darrow_M,FDNY
Darrow_M,NYCMayorsOffice
Darrow_M,Not
Chanders,digiphile
Chanders,FDNY
Chanders,NYCMayorsOffic
moneyries,corybe
moneyries,FDNY
PATHTrain,NY1weather
ThatEricAlper,FDNY
ThatEricAlper,NYCMayorsOffice
ThatEricAlper,NotifyNYC
IrishInSlope,FDNY
IrishInSlope,NYCMayorsOffice
IrishInSlope,Not
lpsrocks,CelluloidBlonde
lpsrocks,youranonnews
WillyBMum,nynewsn
jamvng,NewYorkPost
Qu33nVictoria,Flutteringtweet
Qu33nVictoria,Qu33nVictoria
ms_shelly,JustinKing224
mikesisak,nycarecs
mikesisak,FdnyChief
MillCityComic,OccupyDisabled
MillCityComic,nycarecs
MDDCVAHotProps,JustinKing224
MDDCVAHotProps,Pelukinho
smbedoya,awbauer9
smbedoya,nycarecs
emokidsloveme,CraigatFEMA
ReadyNJ,femaregion2
NBCPhiladelphia,femaregion2
JonHutcheon,HC_Sandy
QrsChocolate,CraigatFEMA
HUDgov,CraigatFEMA
JulianHurrah,StephLauren
JulianHurrah,weeddude
JulianHurrah,BradGuayWX
REALTOR_Vickie,wusa9
sarahredtree,AnonNCarolina2
pswartzpk,CraigatFEMA
WillyBMum,DauphinAttic
MattJClaiborne,CharlotteStaff
MattJClaiborne,newyorkobserver
JqSRedGage,ZupFollowBack
jbtaylor,CraigatFEMA
artfulretro,AspiringMedia
Sun2Save,CraigatFEMA
JeffTitelius,newyorkhabitat
AmaSan25,twc_hurricane
AmaSan25,ImakeTVdaily
davidwade,MassGovernor
DrZibbs,MulliganJimmy
DrZibbs,payoladeville
veronicalderon,eduardosuarez
BButlerIDC,scook72
JulianHurrah,Irene680News
RobertHenriksen,NewYorkPost
RobertHenriksen,JButlerNYC
toddjolmstead,mattpetronzio
pinkbutterfly01,nycarecs
JessaH,ProTravWork
anne_barbano,Reuters
MarisaCorser,nycarecs
YepItsSyd,NickDeyo
toromagazine,Late_Show
toromagazine,JimmyFallon
agreatbigcity,ozedigger
geekwithsoul,deanna
geekwithsoul,storify
TheAcecapade,msjayvee
PeteKaliner,WLOS_13
tvdetective,AlwaysActions
tvdetective,ny
okswartz,cbrangel
Yabutydu,penowski
katonahgreen,SenGillibrand
katonahgreen,cityhall
erinjudge,baratunde
SayethSimon,baratunde
FagundezFraan,michaelsprague
andersen,josholalia
andersen,iavatarisi
dataylor1,busboysandpoets
SayethSimon,WaterWynd
SayethSimon,wight2012
CEEKTechnology,kenoldp
girl_pacino,NewYorkPost
girl_pacino,isardasorensen
CEEKTechnology,kenoldp
littlebluebrd,NewYorkPost
littlebluebrd,isardasorensen
beEverywhere,imax
beEverywhere,macys
beEverywhere,macysevents
euanrellie,NewYorkNatives
euanrellie,EVGrieve
NikkiBeauchamp,NYUCSALS
NikkiBeauchamp,nyuinfoalert
Yemen618,Rooj129
Yemen618,SuportBrnRights
slines,WesternMEwx
slines,gemswinc
Mopeman,femaregion2
juliethrelkeld,Lord_Baker
PattyMarvel,rachelsklar
PattyMarvel,nytm
PattyMarvel,nwc
agreatbigcity,RyanBudhu1
agreatbigcity,Newyorkist
agreatbigcity,agreatbigcity
agreatbigcity,EverythingNYC
agreatbigcity,NBCNewYork
amaxsmith,Amtrak
SionFullana,MikeBloomberg
CEEKTechnology,kenoldp
SkinLifeLove,WellWed
Dakila,NYDNrunning
agreatbigcity,buzzfeed
theamazingPeebs,johndeguzman
MatthewNordin,NBCNews
AudreyLoViolin,dspaneas
CEEKTechnology,alisoncdiana
buttermilk1,azipaybarah
buttermilk1,thenyworld
NikkiBeauchamp,newyorkpost
TheCWProvidence,EricFisherTWC
JMPyper,NYTimes
amaxsmith,MTAInsider
nicolegelinas,NYGovCuomo
hellovodkaitsme,NYGovCuomo
agreatbigcity,RyanBudhu1
SerenaGWann,LikeableMedia
DaveKerpen,LikeableMedia
amaxsmith,NYGovCuomo
franciediep,AndreaTOAP
JMPyper,AlinaChoCNN
theslowman,NY1headlines
LaLoo1620,NY1headlines
SoFloHomeDesign,SLNinAZ
SoFloHomeDesign,StephenFanuka
SoFloHomeDesign,RedCross
NikkiBeauchamp,ny1
deanna,patkiernan
NikkiBeauchamp,patkiernan
NYDNPolitics,NYGovCuomo
Larry_N_Snyder,bart_logan
Larry_N_Snyder,jimmymazza
JCKtw,HuffingtonPost
WhatUpPete,HuffingtonPost
WhatUpPete,HuffingtonPost
JumaaneWilliams,NYGovCuomo
NikkiBeauchamp,patkiernan
mjdwarner,rich_g83
toddjolmstead,gothamist
NikolasPankau,X
